Timestamp;torque;torque
5690000;1.236469E+001;9.133008E+000
5702000;1.222418E+001;9.414023E+000
5713000;1.222418E+001;8.992500E+000
5725000;1.208367E+001;8.149453E+000
5737000;1.208367E+001;6.603868E+000
5748000;1.194316E+001;7.306406E+000
5760000;1.180266E+001;8.851993E+000
5773000;1.180266E+001;9.695040E+000
5785000;1.180266E+001;9.273516E+000
5797000;1.138113E+001;9.414023E+000
5813000;1.124063E+001;7.446914E+000
5825000;1.110012E+001;7.025391E+000
5837000;1.053809E+001;6.603868E+000
5848000;1.067859E+001;6.182344E+000
5859000;1.110012E+001;5.620313E+000
5871000;1.067859E+001;5.058281E+000
5882000;8.289961E+000;-2.388633E+001
5893000;1.039758E+001;-2.149770E+001
5905000;2.810156E+000;-2.894461E+001
5917000;-8.008945E+000;-1.081910E+001
5928000;-7.025391E+000;-1.306723E+001
5940000;-8.430469E+000;-1.025707E+001
5952000;-1.278621E+001;-5.479805E+000
5964000;-1.629891E+001;-6.884883E+000
5976000;-2.135719E+001;-1.053809E+001
5989000;-1.840652E+001;-1.011656E+001
6002000;-2.051414E+001;-1.236469E+001
6013000;-1.643941E+001;-1.391027E+001
6025000;-1.559637E+001;-1.376977E+001
6037000;-1.433180E+001;-1.292672E+001
6049000;-1.503434E+001;-1.292672E+001
6060000;-1.236469E+001;-1.011656E+001
6071000;-1.152164E+001;-1.166215E+001
6082000;-1.405078E+001;-1.391027E+001
6093000;-1.292672E+001;-1.236469E+001
6104000;-1.306723E+001;-1.334824E+001
6116000;-1.222418E+001;-1.306723E+001
6128000;-1.124063E+001;-1.362926E+001
6140000;-1.264570E+001;-1.348875E+001
6152000;-1.053809E+001;-1.461281E+001
6164000;-1.194316E+001;-1.405078E+001
6175000;-1.039758E+001;-1.264570E+001
6186000;-1.166215E+001;-1.334824E+001
6197000;-1.067859E+001;-1.138113E+001
6209000;-9.133008E+000;-1.362926E+001
6220000;-1.081910E+001;-1.208367E+001
6232000;-7.868438E+000;-1.067859E+001
6245000;-7.587422E+000;-1.292672E+001
6257000;-9.133008E+000;-1.124063E+001
6268000;-6.884883E+000;-1.110012E+001
6281000;-6.603868E+000;-1.250520E+001
6292000;-7.165899E+000;-1.208367E+001
6304000;-8.008945E+000;-8.008945E+000
6315000;-7.306406E+000;-8.149453E+000
6326000;-7.587422E+000;-7.306406E+000
6337000;-7.727930E+000;-8.851993E+000
6349000;-7.868438E+000;-5.339297E+000
6361000;-7.727930E+000;-8.851993E+000
6372000;-7.587422E+000;-8.008945E+000
6383000;-7.306406E+000;-8.008945E+000
6395000;-7.025391E+000;-8.430469E+000
6406000;-6.744375E+000;-8.570977E+000
6417000;-6.744375E+000;-8.851993E+000
6429000;-6.744375E+000;-8.992500E+000
6440000;-5.198789E+000;-8.430469E+000
6451000;-5.620313E+000;-8.570977E+000
6462000;-5.620313E+000;-8.992500E+000
6473000;-5.620313E+000;-8.992500E+000
6484000;-5.901328E+000;-1.110012E+001
6495000;-5.479805E+000;-1.067859E+001
6507000;-5.479805E+000;-1.152164E+001
6518000;-5.479805E+000;-1.250520E+001
6531000;-5.760820E+000;-1.264570E+001
6542000;-7.025391E+000;-1.110012E+001
6555000;-8.992500E+000;-1.362926E+001
6566000;-9.976055E+000;-1.264570E+001
6577000;-1.278621E+001;-1.419129E+001
6589000;-1.419129E+001;-1.559637E+001
6601000;-1.391027E+001;-1.686094E+001
6612000;-1.629891E+001;-1.629891E+001
6624000;-1.756348E+001;-1.854703E+001
6636000;-1.742297E+001;-1.700145E+001
6648000;-2.107617E+001;-1.854703E+001
6659000;-2.051414E+001;-1.995211E+001
6670000;-2.163820E+001;-1.868754E+001
6682000;-2.191922E+001;-1.882805E+001
6693000;-1.798500E+001;-1.896856E+001
6704000;-1.896856E+001;-1.882805E+001
6716000;-2.191922E+001;-2.079516E+001
6728000;-2.248125E+001;-2.107617E+001
6739000;-2.346481E+001;-2.191922E+001
6752000;-2.416735E+001;-2.374582E+001
6764000;-2.472938E+001;-2.444836E+001
6776000;-2.585344E+001;-2.290277E+001
6788000;-2.655598E+001;-2.332430E+001
6800000;-2.711801E+001;-2.360531E+001
6812000;-2.796106E+001;-2.402684E+001
6824000;-2.810156E+001;-2.458887E+001
6835000;-2.852309E+001;-2.543192E+001
6846000;-2.880410E+001;-2.543192E+001
6857000;-2.880410E+001;-2.557242E+001
6869000;-2.950664E+001;-2.515090E+001
6880000;-2.950664E+001;-2.543192E+001
6892000;-2.922563E+001;-2.515090E+001
6904000;-2.908512E+001;-2.529141E+001
6917000;-2.908512E+001;-2.529141E+001
6929000;-2.936613E+001;-2.529141E+001
6940000;-2.936613E+001;-2.529141E+001
6951000;-2.866360E+001;-2.627496E+001
6964000;-2.880410E+001;-2.613445E+001
6976000;-2.852309E+001;-2.613445E+001
6987000;-2.824207E+001;-2.613445E+001
6999000;-2.768004E+001;-2.613445E+001
7012000;-2.655598E+001;-2.486988E+001
7025000;-2.669649E+001;-2.444836E+001
7037000;-2.655598E+001;-2.444836E+001
7048000;-2.543192E+001;-2.472938E+001
7061000;-2.472938E+001;-2.458887E+001
7073000;-2.458887E+001;-2.501039E+001
7085000;-2.458887E+001;-2.444836E+001
7097000;-2.416735E+001;-2.444836E+001
7110000;-2.402684E+001;-2.472938E+001
7122000;-2.346481E+001;-2.472938E+001
7134000;-2.529141E+001;-2.472938E+001
7145000;-2.416735E+001;-2.444836E+001
7157000;-2.515090E+001;-2.402684E+001
7169000;-2.515090E+001;-2.332430E+001
7181000;-2.515090E+001;-2.304328E+001
7193000;-2.571293E+001;-2.332430E+001
7204000;-2.177871E+001;-2.501039E+001
7216000;-2.220024E+001;-2.543192E+001
7228000;-2.304328E+001;-2.529141E+001
7240000;-2.444836E+001;-2.515090E+001
7252000;-2.458887E+001;-2.304328E+001
7264000;-2.458887E+001;-2.290277E+001
7275000;-2.430785E+001;-2.290277E+001
7287000;-2.458887E+001;-2.318379E+001
7299000;-2.444836E+001;-2.318379E+001
7311000;-2.458887E+001;-2.318379E+001
7322000;-2.444836E+001;-2.346481E+001
7334000;-2.402684E+001;-2.346481E+001
7346000;-2.402684E+001;-2.332430E+001
7357000;-2.402684E+001;-2.332430E+001
7368000;-2.416735E+001;-2.346481E+001
7382000;-2.444836E+001;-2.346481E+001
7394000;-2.416735E+001;-2.346481E+001
7406000;-2.416735E+001;-2.360531E+001
7418000;-2.388633E+001;-2.346481E+001
7430000;-2.402684E+001;-2.346481E+001
7441000;-2.402684E+001;-2.543192E+001
7452000;-2.444836E+001;-2.543192E+001
7464000;-2.416735E+001;-2.543192E+001
7475000;-2.416735E+001;-2.543192E+001
7487000;-2.416735E+001;-2.515090E+001
7499000;-2.402684E+001;-2.543192E+001
7511000;-2.416735E+001;-2.318379E+001
7523000;-2.402684E+001;-2.304328E+001
7534000;-2.402684E+001;-2.346481E+001
7545000;-2.430785E+001;-2.304328E+001
7558000;-2.430785E+001;-2.374582E+001
7570000;-2.416735E+001;-2.346481E+001
7581000;-2.374582E+001;-2.346481E+001
7592000;-2.430785E+001;-2.346481E+001
7603000;-2.416735E+001;-2.346481E+001
7614000;-2.374582E+001;-2.346481E+001
7625000;-2.374582E+001;-2.346481E+001
7637000;-2.430785E+001;-2.374582E+001
7649000;-2.416735E+001;-2.346481E+001
7661000;-2.472938E+001;-2.360531E+001
7673000;-2.529141E+001;-2.360531E+001
7685000;-2.515090E+001;-2.529141E+001
7697000;-2.641547E+001;-2.529141E+001
7709000;-2.304328E+001;-2.529141E+001
7721000;-2.149770E+001;-2.529141E+001
7733000;-2.430785E+001;-2.529141E+001
7745000;-2.402684E+001;-2.346481E+001
7758000;-2.416735E+001;-2.346481E+001
7771000;-2.402684E+001;-2.346481E+001
7783000;-2.402684E+001;-2.346481E+001
7796000;-2.416735E+001;-2.318379E+001
7807000;-2.416735E+001;-2.360531E+001
7818000;-2.416735E+001;-2.374582E+001
7830000;-2.416735E+001;-2.374582E+001
7843000;-2.430785E+001;-2.360531E+001
7856000;-2.416735E+001;-2.374582E+001
7868000;-2.430785E+001;-2.374582E+001
7879000;-2.430785E+001;-2.374582E+001
7891000;-2.444836E+001;-2.374582E+001
7902000;-2.430785E+001;-2.360531E+001
7914000;-2.444836E+001;-2.374582E+001
7925000;-2.444836E+001;-2.543192E+001
7936000;-2.416735E+001;-2.543192E+001
7947000;-2.416735E+001;-2.543192E+001
7958000;-2.416735E+001;-2.543192E+001
7970000;-2.416735E+001;-2.529141E+001
7983000;-2.416735E+001;-2.332430E+001
7995000;-2.402684E+001;-2.346481E+001
8006000;-2.444836E+001;-2.332430E+001
8018000;-2.416735E+001;-2.332430E+001
8031000;-2.444836E+001;-2.332430E+001
8042000;-2.430785E+001;-2.346481E+001
8053000;-2.444836E+001;-2.374582E+001
8064000;-2.388633E+001;-2.346481E+001
8075000;-2.388633E+001;-2.346481E+001
8087000;-2.318379E+001;-2.346481E+001
8098000;-2.360531E+001;-2.402684E+001
8110000;-2.402684E+001;-2.374582E+001
8121000;-2.388633E+001;-2.388633E+001
8132000;-2.346481E+001;-2.374582E+001
8143000;-2.388633E+001;-2.346481E+001
8154000;-2.402684E+001;-2.374582E+001
8166000;-2.529141E+001;-2.543192E+001
8177000;-2.529141E+001;-2.543192E+001
8188000;-2.501039E+001;-2.543192E+001
8199000;-2.613445E+001;-2.543192E+001
8211000;-2.571293E+001;-2.529141E+001
8223000;-2.079516E+001;-2.346481E+001
8235000;-2.177871E+001;-2.346481E+001
8246000;-2.416735E+001;-2.332430E+001
8258000;-2.416735E+001;-2.318379E+001
8269000;-2.515090E+001;-2.318379E+001
8280000;-2.416735E+001;-2.388633E+001
8291000;-2.444836E+001;-2.360531E+001
8304000;-2.416735E+001;-2.346481E+001
8315000;-2.416735E+001;-2.332430E+001
8327000;-2.416735E+001;-2.346481E+001
8339000;-2.388633E+001;-2.360531E+001
8351000;-2.388633E+001;-2.374582E+001
8363000;-2.388633E+001;-2.360531E+001
8376000;-2.402684E+001;-2.346481E+001
8388000;-2.402684E+001;-2.346481E+001
8400000;-2.402684E+001;-2.346481E+001
8412000;-2.388633E+001;-2.543192E+001
8423000;-2.388633E+001;-2.543192E+001
8435000;-2.402684E+001;-2.543192E+001
8447000;-2.416735E+001;-2.543192E+001
8458000;-2.402684E+001;-2.374582E+001
8469000;-2.402684E+001;-2.332430E+001
8481000;-2.402684E+001;-2.346481E+001
8492000;-2.388633E+001;-2.346481E+001
8504000;-2.388633E+001;-2.318379E+001
8516000;-2.388633E+001;-2.388633E+001
8527000;-2.388633E+001;-2.346481E+001
8539000;-2.318379E+001;-2.360531E+001
8550000;-2.388633E+001;-2.374582E+001
8561000;-2.402684E+001;-2.346481E+001
8572000;-2.402684E+001;-2.346481E+001
8583000;-2.388633E+001;-2.374582E+001
8595000;-2.388633E+001;-2.374582E+001
8607000;-2.388633E+001;-2.374582E+001
8619000;-2.388633E+001;-2.346481E+001
8630000;-2.388633E+001;-2.571293E+001
8642000;-2.360531E+001;-2.543192E+001
8653000;-2.388633E+001;-2.543192E+001
8666000;-2.486988E+001;-2.543192E+001
8677000;-2.543192E+001;-2.543192E+001
8688000;-2.486988E+001;-2.529141E+001
8700000;-2.374582E+001;-2.332430E+001
8713000;-2.135719E+001;-2.360531E+001
8724000;-2.177871E+001;-2.346481E+001
8736000;-2.388633E+001;-2.360531E+001
8748000;-2.388633E+001;-2.360531E+001
8760000;-2.388633E+001;-2.402684E+001
8772000;-2.402684E+001;-2.388633E+001
8784000;-2.388633E+001;-2.360531E+001
8795000;-2.416735E+001;-2.374582E+001
8806000;-2.416735E+001;-2.346481E+001
8819000;-2.416735E+001;-2.402684E+001
8831000;-2.430785E+001;-2.388633E+001
8843000;-2.458887E+001;-2.374582E+001
8855000;-2.416735E+001;-2.374582E+001
8866000;-2.416735E+001;-2.374582E+001
8877000;-2.458887E+001;-2.374582E+001
8888000;-2.402684E+001;-2.585344E+001
8899000;-2.402684E+001;-2.543192E+001
8911000;-2.360531E+001;-2.486988E+001
8922000;-2.276227E+001;-2.374582E+001
8933000;-2.065465E+001;-2.248125E+001
8945000;-1.910906E+001;-1.868754E+001
8957000;-1.503434E+001;-1.489383E+001
8968000;-1.152164E+001;-1.222418E+001
8979000;-8.992500E+000;-9.554531E+000
8990000;-5.198789E+000;-6.884883E+000
9003000;-1.405078E+000;-4.215234E+000
9014000;9.835547E-001;-2.107617E+000
9025000;1.967109E+000;1.405078E+000
9036000;5.198789E+000;1.405078E+000
9048000;2.248125E+000;2.388633E+000
9060000;5.339297E+000;3.372188E+000
9072000;7.025391E+000;3.653203E+000
9085000;1.278621E+001;8.570977E+000
9097000;1.953059E+001;7.727930E+000
9109000;1.812551E+001;4.496250E+000
9122000;1.489383E+001;5.198789E+000
9134000;1.615840E+001;6.182344E+000
9147000;1.391027E+001;7.587422E+000
9159000;1.419129E+001;7.165899E+000
9170000;1.489383E+001;6.182344E+000
9181000;1.405078E+001;6.744375E+000
9192000;1.236469E+001;6.463359E+000
9204000;1.124063E+001;5.479805E+000
9215000;1.264570E+001;3.793711E+000
9227000;1.081910E+001;4.496250E+000
9239000;1.124063E+001;4.777266E+000
9251000;1.222418E+001;5.760820E+000
9262000;1.194316E+001;4.636758E+000
9274000;1.081910E+001;4.355742E+000
9286000;1.095961E+001;5.198789E+000
9298000;1.053809E+001;3.934219E+000
9309000;1.180266E+001;4.355742E+000
9321000;1.236469E+001;5.339297E+000
9332000;1.264570E+001;5.058281E+000
9343000;1.320774E+001;5.620313E+000
9354000;1.320774E+001;4.215234E+000
9366000;1.320774E+001;4.355742E+000
9379000;1.292672E+001;4.777266E+000
9391000;1.391027E+001;3.512695E+000
9403000;1.615840E+001;4.636758E+000
9414000;1.742297E+001;7.306406E+000
9426000;2.135719E+001;5.339297E+000
9437000;2.501039E+001;2.529141E+000
9449000;2.711801E+001;3.372188E+000
9460000;2.739902E+001;5.339297E+000
9471000;2.810156E+001;4.496250E+000
9482000;2.824207E+001;3.091172E+000
9493000;2.838258E+001;3.091172E+000
9504000;2.852309E+001;3.231680E+000
9516000;2.824207E+001;3.934219E+000
9528000;2.838258E+001;4.355742E+000
9540000;2.838258E+001;5.901328E+000
9551000;2.810156E+001;6.041836E+000
9562000;2.768004E+001;6.322852E+000
9573000;2.711801E+001;7.165899E+000
9585000;2.655598E+001;7.446914E+000
9596000;2.585344E+001;7.025391E+000
9607000;2.529141E+001;8.851993E+000
9618000;2.486988E+001;1.011656E+001
9630000;2.444836E+001;9.414023E+000
9641000;2.360531E+001;9.414023E+000
9652000;2.304328E+001;7.868438E+000
9663000;2.262176E+001;9.414023E+000
9674000;2.234074E+001;7.868438E+000
9687000;2.234074E+001;7.868438E+000
9699000;2.205973E+001;5.620313E+000
9710000;2.234074E+001;7.587422E+000
9721000;2.234074E+001;7.446914E+000
9734000;2.163820E+001;6.463359E+000
9747000;2.234074E+001;6.603868E+000
9758000;2.234074E+001;6.322852E+000
9771000;2.248125E+001;5.760820E+000
9782000;2.262176E+001;6.041836E+000
9793000;2.290277E+001;7.025391E+000
9804000;2.318379E+001;7.025391E+000
9815000;2.332430E+001;6.744375E+000
9827000;2.360531E+001;6.603868E+000
9838000;2.374582E+001;6.463359E+000
9849000;2.388633E+001;7.446914E+000
9866000;2.402684E+001;7.306406E+000
9878000;2.402684E+001;7.165899E+000
9890000;2.416735E+001;6.884883E+000
9901000;2.402684E+001;6.884883E+000
9913000;2.388633E+001;6.182344E+000
9924000;2.374582E+001;6.182344E+000
9935000;2.374582E+001;6.322852E+000
9946000;2.346481E+001;6.463359E+000
9958000;2.346481E+001;6.603868E+000
9969000;2.318379E+001;6.744375E+000
9980000;2.318379E+001;6.884883E+000
9991000;2.304328E+001;5.620313E+000
10002000;2.220024E+001;-2.669648E+000
10013000;2.121668E+001;-2.669648E+000
10024000;1.896856E+001;-1.264570E+000
10035000;1.728246E+001;-4.355742E+000
10046000;1.447231E+001;-7.025391E-001
10057000;1.166215E+001;-2.810156E-001
10069000;8.711485E+000;2.669648E+000
10080000;6.744375E+000;3.372188E+000
10092000;6.041836E+000;4.496250E+000
10103000;4.215234E+000;6.182344E+000
10115000;4.917774E+000;3.231680E+000
10127000;5.339297E+000;3.793711E+000
10139000;4.636758E+000;2.248125E+000
10150000;3.372188E+000;-1.264570E+000
10161000;3.653203E+000;-5.058281E+000
10172000;2.950664E+000;-6.463359E+000
10183000;2.248125E+000;-6.603868E+000
10196000;-5.198789E+000;-6.603868E+000
10207000;-8.570977E+000;-6.041836E+000
10218000;-8.711485E+000;-1.110012E+001
10231000;-9.554531E+000;-7.446914E+000
10242000;-2.430785E+001;-5.760820E+000
10254000;-2.585344E+001;-1.475332E+001
10265000;-3.077121E+001;-1.756348E+001
10277000;-2.669649E+001;-2.037363E+001
10288000;-2.978766E+001;-1.405078E+001
10299000;-2.641547E+001;-1.896856E+001
10310000;-2.220024E+001;-1.461281E+001
10323000;-1.770399E+001;-1.461281E+001
10334000;-1.433180E+001;-1.531535E+001
10346000;-1.138113E+001;-1.447231E+001
10358000;-9.273516E+000;-1.629891E+001
10370000;-8.289961E+000;-1.700145E+001
10381000;-6.182344E+000;-1.615840E+001
10394000;-5.479805E+000;-1.461281E+001
10405000;-6.041836E+000;-1.573688E+001
10417000;-4.074727E+000;-1.461281E+001
10428000;-2.950664E+000;-1.643941E+001
10438000;-5.058281E+000;-1.601789E+001
10450000;-3.231680E+000;-1.784449E+001
10461000;-5.620313E+000;-1.826602E+001
10471000;-4.355742E+000;-1.854703E+001
10482000;-5.760820E+000;-1.868754E+001
10493000;-5.901328E+000;-1.868754E+001
10505000;-6.322852E+000;-1.939008E+001
10517000;-6.884883E+000;-1.910906E+001
10529000;-7.446914E+000;-1.910906E+001
10541000;-7.868438E+000;-1.882805E+001
10554000;-8.149453E+000;-1.854703E+001
10566000;-8.149453E+000;-1.882805E+001
10578000;-8.149453E+000;-1.854703E+001
10590000;-8.289961E+000;-1.854703E+001
10601000;-8.430469E+000;-1.840652E+001
10612000;-8.711485E+000;-1.812551E+001
10624000;-8.992500E+000;-1.503434E+001
10636000;-8.992500E+000;-1.531535E+001
10647000;-9.133008E+000;-1.559637E+001
10658000;-9.835547E+000;-1.573688E+001
10670000;-9.273516E+000;-1.587738E+001
10681000;-8.570977E+000;-1.672043E+001
10692000;-8.008945E+000;-1.643941E+001
10704000;-8.289961E+000;-1.629891E+001
10716000;-8.570977E+000;-1.643941E+001
